customer_state,avg_order_value
PB,445.3060447761194
AC,440.3079012345679
AL,361.44847457627117
PA,354.27551794871795
RO,348.73438735177865
RN,347.45688659793814
RR,346.3613043478261
MT,346.2805181918412
AP,345.63073529411764
TO,342.10110714285713
CE,340.898128742515
PI,340.74945454545457
SE,334.81408571428574
MA,322.813547523427
PE,310.4215617433414
MS,306.16999999999996
BA,297.6634437869822
GO,287.12231188118807
AM,277.90513513513514
RJ,268.416919545596
SC,266.13110805609017
RS,260.9191822173436
DF,257.38534579439255
PR,252.89671952428145
MG,251.40689127632146
ES,246.25987702902117
SP,227.72227686484933
