customer_state,avg_review_score
AP,4.384615384615385
RN,4.125
TO,4.121428571428571
SP,4.114022041719101
PR,4.106211180124224
MS,4.102844638949672
MG,4.081801599551003
AC,4.05
RS,4.039469808541973
PB,4.0325443786982245
DF,4.028135048231511
ES,4.0091896407685885
SC,3.9834854411125598
PE,3.9458937198067634
AM,3.9431818181818183
GO,3.9242779078844654
RR,3.84375
SE,3.8378378378378377
RO,3.8366013071895426
BA,3.832630098452883
RJ,3.8152550767706788
CE,3.795238095238095
PA,3.7847682119205297
PI,3.770909090909091
AL,3.7167381974248928
MA,3.688841201716738
MT,3.6818950930626055
